N,Triton_oneline,Triton_step,Torch,Naive Softmax
256.000000,1122.612281,748.183421,1836.345054,462.567771
384.000000,1444.173938,996.350136,1941.977492,491.024681
512.000000,1663.420616,1245.103618,2213.244496,472.306343
640.000000,1784.578267,1290.770771,2168.703536,464.322595
768.000000,1899.880669,1478.609794,2398.575751,470.088090
896.000000,2006.743326,1639.782059,2558.404282,475.340046
1024.000000,2104.279210,1748.662789,2697.662416,484.215599
1152.000000,1996.515039,1484.697660,2235.583355,489.705163
1280.000000,2069.080076,1584.784995,2331.197756,497.977213
1408.000000,2121.027593,1675.966716,2436.916895,503.804092
1536.000000,2190.323154,1763.348230,2524.395222,510.073862
1664.000000,2229.981293,1842.693270,2572.637476,514.321964
1792.000000,2260.462441,1914.191583,2444.495325,518.429784
1920.000000,2283.199178,1977.061781,2482.433998,522.320878
2048.000000,2289.231477,2032.112534,2542.743938,527.885175
2176.000000,2186.261539,1472.667173,1067.114819,527.419015
2304.000000,2221.965169,1520.993514,1117.606098,529.624801
2432.000000,2262.275975,1568.209046,1163.682014,532.670169
2560.000000,2303.212765,1612.438859,1209.749911,515.684477
2688.000000,2326.042653,1651.858217,1251.792833,520.409617
2816.000000,2340.040936,1690.709700,1288.656657,524.215593
2944.000000,2344.240069,1728.894897,1330.117929,527.679059
3072.000000,2348.453753,1758.707780,1365.663379,530.155172
3200.000000,2357.051271,1785.674818,1304.090494,532.624961
3328.000000,2356.596593,1812.132829,1342.934325,534.945025
3456.000000,2354.313291,1841.134557,1376.743139,538.010654
3584.000000,2359.194037,1867.089105,1409.666266,539.979611
3712.000000,2368.615687,1889.031424,1439.922590,542.848267
3840.000000,2368.602419,1916.588174,1470.161009,545.131467
3968.000000,2373.241814,1934.263870,1501.104965,546.318422
4096.000000,2362.309514,1964.291118,1523.920608,549.541228
4224.000000,2130.070849,1404.341261,1450.350272,547.125442
4352.000000,2155.179205,1436.574791,1480.699130,550.824982
4480.000000,2173.337271,1461.431350,1500.257489,551.398325
4608.000000,2195.484558,1491.609185,1527.347500,553.187586
4736.000000,2223.667173,1518.268095,1535.090115,554.008374
4864.000000,2241.918910,1542.376477,1552.550575,554.766888
4992.000000,2256.137997,1567.090168,1555.450183,555.269547
5120.000000,2272.462455,1598.557265,1578.618300,546.840927
5248.000000,2286.684089,1613.561341,1516.824866,548.066608
5376.000000,2294.745114,1639.842073,1536.141736,549.560056
5504.000000,2305.742491,1662.968407,1552.740742,550.446850
5632.000000,2320.260350,1686.228225,1570.548721,551.914651
5760.000000,2332.553092,1703.582011,1577.511122,554.010248
5888.000000,2336.818055,1714.840197,1561.483691,554.124260
6016.000000,2358.369240,1751.920403,1590.630721,555.549434
6144.000000,2370.125242,1775.763690,1606.114142,556.772841
6272.000000,2382.404412,1784.194386,1056.480644,557.324212
6400.000000,2392.111513,1795.768137,1067.178389,558.015708
6528.000000,2412.562506,1810.654847,1084.237716,559.056845
6656.000000,2406.586738,1829.926974,1096.980352,560.010189
6784.000000,2418.820788,1843.655209,1106.484974,560.870135
6912.000000,2419.414115,1861.066495,1126.698920,516.217239
7040.000000,2422.389171,1881.420842,1128.242205,560.626247
7168.000000,2416.613646,1899.310398,1140.079727,561.742799
7296.000000,2416.290230,1912.002440,1087.223098,562.231398
7424.000000,2419.031105,1930.669281,1101.968147,562.935175
7552.000000,2417.552717,1950.537307,1110.747277,556.597562
7680.000000,2422.812989,1970.916223,1122.911223,557.611792
7808.000000,2424.036852,1980.355821,1130.694844,558.049838
7936.000000,2424.179096,1998.757524,1142.419303,559.119445
8064.000000,2414.754811,2010.152029,1145.967206,560.091495
8192.000000,2415.825362,2027.534879,1163.983105,551.194594
8320.000000,1321.911358,898.807544,1117.759813,549.309764
8448.000000,1333.632393,918.279806,1133.748934,549.541026
8576.000000,1344.622924,929.797487,1140.897387,549.878016
8704.000000,1358.610943,936.400700,1157.588931,551.410229
8832.000000,1371.384294,940.018553,1161.623693,551.465668
8960.000000,1377.776817,961.110319,1174.789947,552.777813
9088.000000,1389.675599,972.411311,1184.326017,553.459013
9216.000000,1399.995614,978.437143,1188.207829,554.527239
9344.000000,1400.689880,985.806691,1997.168404,554.705438
9472.000000,1407.415518,1002.231351,1911.367295,544.097015
9600.000000,1413.969273,1009.821662,2011.764947,556.452356
9728.000000,1424.529474,1016.599914,2009.352905,558.350908
