size,Triton,Torch
4096.000000,6.678261,8.727273
8192.000000,13.128205,17.162012
16384.000000,26.033898,34.133333
32768.000000,51.200001,66.782607
65536.000000,99.902435,132.843245
131072.000000,195.047621,256.668403
262144.000000,351.085705,448.876724
524288.000000,593.981894,780.190482
1048576.000000,1034.778914,1280.833837
2097152.000000,1533.005829,1854.792461
4194304.000000,2003.648454,2361.657632
8388608.000000,2224.701467,2849.391241
16777216.000000,2452.809382,3219.783046
33554432.000000,2634.613040,3457.793897
67108864.000000,2730.814762,3588.965283
134217728.000000,2779.678906,3649.601166
